Time Stamp, X-axis, Y-axis, Z-axis
13:42:16,-0.0215,0.1495,1.0611
13:42:16,0.1001,0.5036,1.1204
13:42:16,-0.0012,0.7587,1.1254
13:42:16,-0.0562,0.9863,1.1314
13:42:16,-0.0547,1.1822,1.1451
13:42:16,-0.1116,1.4113,1.1862
13:42:16,-0.0384,1.5737,1.2152
13:42:16,-0.0354,1.5726,1.1754
13:42:16,-0.0753,1.6512,1.1845
13:42:16,-0.0506,1.5509,1.1425
13:42:16,-0.0369,1.431,1.1611
13:42:16,-0.0588,1.243,1.1916
13:42:16,-0.0521,0.9985,1.1305
13:42:16,-0.1179,0.7611,1.0983
13:42:16,-0.087,0.4963,1.056
13:42:16,-0.0643,0.0578,0.9443
13:42:16,-0.0312,-0.4894,0.9051
13:42:16,-0.1762,1.5023,1.1599
13:42:16,-0.077,1.2321,1.1712
13:42:16,-0.054,1.0012,1.1317
13:42:16,-0.131,0.7687,1.096
13:42:16,-0.065,0.4234,1.0049
13:42:16,-0.0005,-0.6808,0.8325
13:42:16,0.0016,-0.9458,0.8238
13:42:16,-0.1108,-1.2645,0.7571
13:42:16,0.0174,-1.2977,0.7394
13:42:16,-0.0133,-1.3241,0.7225
13:42:16,0.0604,-0.9959,0.8394
13:42:16,-0.047,-0.7947,0.8948
13:42:16,-0.0315,-0.5107,0.9126
13:42:16,0.0436,-0.028,1.0139
13:42:16,-0.0058,0.2221,1.0183
13:42:16,-0.1027,1.3099,1.208
13:42:16,-0.0767,1.5201,1.2105
13:42:16,-0.027,1.6534,1.2101
13:42:16,-0.0037,1.6452,1.1806
13:42:16,-0.025,1.5782,1.1856
13:42:16,-0.1025,0.8979,1.1225
13:42:16,-0.0011,0.6505,1.0795
13:42:16,-0.0687,0.2154,0.9752
13:42:16,-0.1738,-0.0503,0.936
13:42:16,-0.0941,-0.3236,0.9046
13:42:16,0.1118,-1.2349,0.7388
13:42:16,0.1093,-1.4721,0.7296
13:42:16,0.046,-1.4547,0.6741
13:42:16,-0.1058,-1.4408,0.7231
13:42:16,-0.0248,-1.2789,0.7639
13:42:16,-0.0286,-0.2059,0.9571
13:42:16,0.005,0.1272,1.0441
13:42:16,0.056,0.4385,1.0974
