Time Stamp, X-axis, Y-axis, Z-axis
13:28:15,-0.1209,0.1611,1.0016
13:28:15,0.0704,0.1001,1.0108
13:28:15,0.2413,0.138,0.9929
13:28:15,0.1843,0.2051,0.9635
13:28:15,-0.1903,0.2,0.9349
13:28:15,-0.0583,0.1495,1.0401
13:28:15,0.3282,0.133,1.0055
13:28:15,0.1714,0.1785,0.9781
13:28:15,0.1044,0.2127,0.9379
13:28:15,-0.127,0.2123,0.9613
13:28:15,0.0992,0.0816,1.0057
13:28:15,0.2755,0.0682,1.0062
13:28:15,0.2438,0.1204,1.0118
13:28:15,0.2713,0.1691,1.0216
13:28:15,-0.1483,0.1731,0.9768
13:28:15,0.0648,0.0901,0.9929
13:28:15,0.0693,0.0849,1.0137
13:28:15,0.1938,0.2097,0.9729
13:28:15,-0.014,0.2235,0.9422
13:28:15,-0.1,0.2299,0.9293
13:28:15,-0.1527,0.113,1.0009
13:28:15,-0.0925,0.2159,0.9458
13:28:15,-0.0661,0.0777,1.0011
13:28:15,0.1441,0.0815,1.002
13:28:15,0.2536,0.0783,0.9854
13:28:15,-0.1524,0.1939,0.9602
13:28:15,-0.0158,0.1513,0.9569
13:28:15,-0.1256,0.1026,0.9839
13:28:15,-0.0505,0.0778,1.005
13:28:15,-0.0462,0.137,1.0148
13:28:15,-0.0839,0.1821,0.9477
13:28:15,-0.1079,0.1317,0.9605
13:28:15,0.3434,0.1844,0.9294
13:28:15,-0.1801,0.1973,0.9305
13:28:15,-0.0635,0.1282,0.973
13:28:15,0.1797,0.0739,1.0068
13:28:15,0.2373,0.1816,0.9931
13:28:15,0.2319,0.1883,0.9828
13:28:15,0.0136,0.2167,0.9566
13:28:15,-0.0846,0.2306,0.9433
13:28:15,-0.1767,0.205,0.942
13:28:15,-0.0354,0.14,0.9867
13:28:15,-0.149,0.1704,0.9644
13:28:15,0.3023,0.0993,1.0002
13:28:15,0.2623,0.1534,0.966
13:28:15,-0.1205,0.1963,0.9917
13:28:15,-0.0215,0.1327,0.9791
13:28:16,-0.0808,0.0897,0.9982
13:28:16,0.2069,0.0776,0.9398
13:28:16,-0.1445,0.1268,0.9572
13:28:16,-0.1825,0.0663,1.0078
13:28:16,0.0326,0.1115,1.0245
13:28:16,0.1714,0.0749,0.9992
13:28:16,-0.0869,0.2328,0.9278
13:28:16,0.3354,0.1104,0.9865
13:28:16,0.2131,0.2149,0.9573
13:28:16,0.1822,0.2201,0.9373
13:28:16,-0.1264,0.1411,0.9664
13:28:16,0.0674,0.0934,0.995
13:28:16,0.2476,0.0789,0.984
13:28:16,0.2433,0.1181,0.9803
13:28:16,0.2404,0.1807,0.9816
13:28:16,0.127,0.23,0.9602
13:28:16,0.0336,0.1789,0.969
13:28:16,-0.0587,0.1345,0.9805
13:28:16,0.1888,0.0644,0.994
