Time Stamp, X-axis, Y-axis, Z-axis
11:30:57,-0.0573,0.1692,0.9726
11:30:57,-0.0584,0.1686,0.9733
11:30:57,-0.0575,0.169,0.9743
11:30:57,-0.0586,0.1687,0.9732
11:30:57,-0.0578,0.1688,0.9736
11:30:57,-0.0578,0.1692,0.9724
11:30:57,-0.0582,0.1687,0.9743
11:30:57,-0.0573,0.1695,0.9733
11:30:57,-0.0581,0.1696,0.9732
11:30:57,-0.0581,0.1686,0.9726
11:30:57,-0.0581,0.1692,0.9731
11:30:57,-0.0579,0.1689,0.9718
11:30:57,-0.059,0.1686,0.9718
11:30:57,-0.0561,0.1693,0.9728
11:30:57,-0.0564,0.1691,0.9728
11:30:57,-0.0563,0.1688,0.9729
11:30:57,-0.057,0.169,0.9739
11:30:57,-0.057,0.1683,0.9723
11:30:57,-0.0565,0.168,0.9726
11:30:57,-0.0579,0.1678,0.9729
11:30:57,-0.0579,0.169,0.9725
11:30:57,-0.058,0.1696,0.974
11:30:57,-0.0591,0.169,0.9725
11:30:57,-0.057,0.1692,0.9709
11:30:57,-0.0583,0.1685,0.9728
11:30:57,-0.0579,0.1691,0.9746
11:30:57,-0.0582,0.1689,0.9737
11:30:57,-0.0566,0.1688,0.9719
11:30:57,-0.0559,0.1689,0.9718
11:30:57,-0.0562,0.1692,0.9749
11:30:57,-0.0563,0.1681,0.9728
11:30:57,-0.0568,0.1683,0.9739
11:30:57,-0.0568,0.1688,0.9739
11:30:57,-0.0576,0.1685,0.9723
11:30:57,-0.0582,0.1685,0.9737
11:30:57,-0.0571,0.1699,0.9728
11:30:57,-0.0569,0.1693,0.9727
11:30:57,-0.0573,0.1688,0.9726
11:30:57,-0.0581,0.1698,0.973
11:30:57,-0.0598,0.1693,0.9718
11:30:57,-0.0581,0.1694,0.9739
11:30:57,-0.0584,0.169,0.9739
11:30:57,-0.0581,0.1681,0.9743
11:30:57,-0.059,0.1688,0.9725
11:30:57,-0.0585,0.169,0.9727
11:30:57,-0.0571,0.17,0.9728
11:30:57,-0.0568,0.1692,0.9737
11:30:57,-0.0576,0.168,0.9734
11:30:57,-0.0571,0.1693,0.9749
11:30:57,-0.0586,0.1684,0.9728
11:30:57,-0.0592,0.1683,0.9728
11:30:57,-0.0585,0.169,0.9737
11:30:57,-0.0577,0.1689,0.9728
11:30:57,-0.0572,0.1693,0.9713
11:30:57,-0.0577,0.17,0.9727
11:30:57,-0.0556,0.1692,0.9734
11:30:57,-0.058,0.1686,0.9744
11:30:57,-0.0583,0.1684,0.9735
11:30:57,-0.0577,0.1684,0.9741
11:30:57,-0.0595,0.1688,0.9738
11:30:57,-0.0597,0.1691,0.973
11:30:57,-0.0571,0.1687,0.9731
11:30:58,-0.0585,0.1692,0.9724
11:30:58,-0.0592,0.168,0.9728
11:30:58,-0.0558,0.1693,0.9721
11:30:58,-0.0561,0.1684,0.9729
11:30:58,-0.056,0.1692,0.9726
11:30:58,-0.0579,0.1692,0.9726
11:30:58,-0.0558,0.1692,0.9726
11:30:58,-0.0592,0.1687,0.974
11:30:58,-0.0579,0.1697,0.9736
11:30:58,-0.058,0.1681,0.9731
11:30:58,-0.0579,0.1683,0.9739
11:30:58,-0.0569,0.1682,0.973
11:30:58,-0.0566,0.1692,0.9716
11:30:58,-0.0574,0.1688,0.9734
11:30:58,-0.0585,0.1687,0.9745
11:30:58,-0.058,0.1684,0.9727
11:30:58,-0.0575,0.1678,0.973
11:30:58,-0.0574,0.1695,0.9736
11:30:58,-0.0566,0.1684,0.9717
11:30:58,-0.0577,0.169,0.9727
11:30:58,-0.0572,0.1684,0.9744
11:30:58,-0.0586,0.1691,0.9738
11:30:58,-0.0576,0.1688,0.9739
11:30:58,-0.0586,0.1686,0.9736
11:30:58,-0.0571,0.169,0.9726
11:30:58,-0.0575,0.1693,0.9734
11:30:58,-0.0574,0.1691,0.9742
11:30:58,-0.0581,0.1685,0.9729
11:30:58,-0.0581,0.1685,0.9724
11:30:58,-0.0568,0.1685,0.9719
11:30:58,-0.0574,0.1687,0.9733
11:30:58,-0.0589,0.169,0.973
11:30:58,-0.0579,0.1687,0.9739
11:30:58,-0.0571,0.1688,0.9738
11:30:58,-0.0577,0.1691,0.9743
11:30:58,-0.0581,0.1686,0.9733
11:30:58,-0.0577,0.1694,0.9726
11:30:58,-0.0579,0.1683,0.9734
11:30:58,-0.0559,0.1688,0.9725
11:30:58,-0.0559,0.169,0.9708
11:30:58,-0.0586,0.1698,0.9728
11:30:58,-0.0567,0.1694,0.9714
11:30:58,-0.0571,0.1683,0.9734
11:30:58,-0.0574,0.1682,0.9745
11:30:58,-0.0584,0.1683,0.9747
11:30:58,-0.0574,0.1685,0.9736
11:30:58,-0.0571,0.1689,0.9731
11:30:58,-0.0556,0.1689,0.9716
11:30:58,-0.0568,0.1681,0.9725
11:30:58,-0.0568,0.169,0.9745
11:30:58,-0.0576,0.1698,0.9721
11:30:58,-0.0587,0.1684,0.9713
11:30:58,-0.0574,0.169,0.9734
11:30:58,-0.0559,0.1692,0.973
11:30:58,-0.0581,0.1695,0.9728
11:30:58,-0.058,0.1694,0.9731
11:30:58,-0.0556,0.1688,0.9719
11:30:58,-0.058,0.1682,0.9712
11:30:58,-0.0579,0.169,0.9728
11:30:58,-0.0571,0.1688,0.9745
11:30:58,-0.0574,0.1692,0.974
11:30:58,-0.0581,0.1684,0.9723
11:30:58,-0.0589,0.1689,0.9739
11:30:58,-0.0572,0.1687,0.9718
11:30:58,-0.0564,0.1696,0.9718
11:30:58,-0.0564,0.169,0.9729
11:30:58,-0.0574,0.1691,0.9745
11:30:58,-0.0578,0.1699,0.9742
11:30:58,-0.0599,0.1681,0.9704
11:30:58,-0.0578,0.1691,0.9716
11:30:58,-0.0579,0.1687,0.9721
11:30:58,-0.0557,0.1687,0.9711
11:30:58,-0.0568,0.1683,0.9719
11:30:58,-0.057,0.169,0.9748
11:30:58,-0.0581,0.1683,0.9743
11:30:58,-0.0562,0.1685,0.9743
11:30:58,-0.0574,0.1687,0.975
11:30:58,-0.059,0.1692,0.9736
11:30:58,-0.0579,0.1696,0.9717
11:30:58,-0.0576,0.1696,0.972
11:30:58,-0.0561,0.1689,0.9718
11:30:58,-0.0566,0.1686,0.9725
11:30:58,-0.0565,0.1684,0.9732
11:30:58,-0.0587,0.1687,0.9744
11:30:58,-0.0595,0.1695,0.9726
11:30:58,-0.0573,0.168,0.973
11:30:58,-0.0568,0.1694,0.9738
11:30:58,-0.0589,0.1687,0.9722
11:30:58,-0.0588,0.1694,0.9737
11:30:58,-0.0583,0.1691,0.9733
11:30:58,-0.0575,0.1691,0.9746
11:30:58,-0.059,0.1701,0.9739
11:30:58,-0.0583,0.169,0.9726
11:30:58,-0.0572,0.1682,0.9725
11:30:58,-0.0575,0.1695,0.9744
11:30:58,-0.0588,0.1694,0.9748
11:30:58,-0.0582,0.1695,0.9715
11:30:58,-0.0554,0.1682,0.9723
11:30:58,-0.0557,0.1693,0.9718
11:30:58,-0.0562,0.1691,0.9733
11:30:58,-0.0574,0.1697,0.9725
11:30:58,-0.0569,0.1688,0.9733
11:30:58,-0.0591,0.1692,0.973
11:30:58,-0.0565,0.1684,0.9739
11:30:58,-0.0573,0.168,0.9726
11:30:58,-0.0559,0.1694,0.9726
11:30:58,-0.056,0.168,0.9719
11:30:58,-0.0571,0.1684,0.973
11:30:58,-0.0581,0.1701,0.9741
11:30:58,-0.0581,0.1701,0.9738
11:30:58,-0.0563,0.1686,0.9744
11:30:58,-0.0569,0.1691,0.9719
11:30:58,-0.0575,0.1686,0.973
11:30:58,-0.0581,0.1698,0.9739
11:30:58,-0.0593,0.1685,0.9734
11:30:58,-0.0557,0.1684,0.9733
11:30:58,-0.0581,0.1686,0.9729
11:30:58,-0.0564,0.1685,0.9738
11:30:58,-0.0577,0.1688,0.9744
11:30:58,-0.0582,0.169,0.9736
11:30:58,-0.0574,0.1683,0.9724
11:30:58,-0.0571,0.1688,0.9732
11:30:58,-0.0585,0.169,0.973
11:30:58,-0.0585,0.1695,0.9738
11:30:58,-0.058,0.1696,0.9732
